id,name,price,type
1,Pie Filling - Pumpkin,930056,10
2,"Jam - Strawberry, 20 Ml Jar",480594,7
3,Bread - Raisin Walnut Oval,467440,8
4,Soup - Campbells Broccoli,277051,8
5,Dish Towel,823967,10
6,Wine - Kwv Chenin Blanc South,18392,8
7,"Pepper - Julienne, Frozen",940352,9
8,Table Cloth 62x114 White,353472,1
9,Shrimp - Tiger 21/25,118854,1
10,Apron,994070,7
11,Sauce - Plum,293817,1
12,Squid U5 - Thailand,948940,9
13,"Bread - Roll, Whole Wheat",552383,4
14,Wine - Chardonnay Mondavi,355371,4
15,Bag Stand,700768,8
16,Wine - Ej Gallo Sonoma,99692,9
17,"Cheese - Havarti, Roasted Garlic",550678,6
18,Bread Sour Rolls,409694,3
19,Scrubbie - Scotchbrite Hand Pad,168055,5
20,Cake - Mini Cheesecake,636314,1
21,Lettuce - California Mix,171059,8
22,Scallops - Live In Shell,51015,6
23,Paste - Black Olive,746095,1
24,Cheese - Brie Roitelet,693317,6
25,Appetizer - Lobster Phyllo Roll,222790,4
26,Vanilla Beans,966161,6
27,"Pasta - Cannelloni, Sheets, Fresh",266040,1
28,Pork - Backs - Boneless,947061,5
29,Liquid Aminios Acid - Braggs,661020,10
30,Longos - Grilled Chicken With,934550,10
31,Pastry - French Mini Assorted,583435,1
32,"Wine - Red, Colio Cabernet",880630,3
33,Arctic Char - Fillets,799173,7
34,Lettuce - Romaine,895504,4
35,Cheese - Provolone,725955,9
36,Butter Balls Salted,505649,8
37,Bread - Sour Batard,446856,5
38,"Mushroom - Chanterelle, Dry",740252,6
39,"Lamb - Racks, Frenched",675056,5
40,Nantucket - Kiwi Berry Cktl.,979738,9
41,"Pepper - White, Ground",842392,4
42,"Cheese - Boursin, Garlic / Herbs",887615,6
43,"Juice - Cranberry, 341 Ml",829121,5
44,"Wine - White, Colubia Cresh",452059,10
45,"Pineapple - Canned, Rings",609181,3
46,Beer - Rickards Red,826386,2
47,Berry Brulee,961345,3
48,Calvados - Boulard,211712,1
49,Scampi Tail,542892,10
50,Trueblue - Blueberry,544476,7
51,Dr. Pepper - 355ml,940347,5
52,Shrimp - Black Tiger 6 - 8,395754,6
53,"Pesto - Primerba, Paste",870515,8
54,Alize Sunset,206791,10
55,Pate - Liver,308036,8
56,Soup - Base Broth Chix,154571,6
57,Savory,933389,1
58,Hold Up Tool Storage Rack,921378,7
59,"Lettuce - Romaine, Heart",439603,2
60,"Juice - Orange, 341 Ml",718610,10
61,"Star Anise, Whole",39695,7
62,Nestea - Iced Tea,465181,9
63,Corn - Mini,496021,8
64,Chips Potato Swt Chilli Sour,90223,4
65,"Pepper - Black, Whole",787135,2
66,"Ranchero - Primerba, Paste",120476,9
67,"Yogurt - Raspberry, 175 Gr",761854,7
68,Island Oasis - Strawberry,175010,5
69,Cheese Cloth No 100,615450,10
70,Soup - Campbells Beef Strogonoff,20219,10
71,Melon - Cantaloupe,411972,6
72,Spice - Peppercorn Melange,152266,2
73,"Cheese - Cheddar, Mild",764112,8
74,Cake - Box Window 10x10x2.5,434884,7
75,Vanilla Beans,159334,6
76,Olive - Spread Tapenade,93891,6
77,"Pork - Loin, Boneless",789353,9
78,Squid - Breaded,197471,2
79,Wine - Chianti Classico Riserva,965218,1
80,"Water, Tap",582950,3
81,Nacho Chips,409833,1
82,"Carrots - Purple, Organic",904390,6
83,Wine - Fino Tio Pepe Gonzalez,545218,8
84,"Mushroom - Enoki, Dry",446668,9
85,"Soup - Knorr, Country Bean",378511,5
86,Lamb - Loin Chops,479702,4
87,Broom - Push,498324,9
88,Hersey Shakes,552567,9
89,"Water - Mineral, Carbonated",440145,5
90,Cup - 4oz Translucent,783681,7
91,The Pop Shoppe - Root Beer,274271,4
92,Pie Filling - Pumpkin,353727,9
93,Cheese - Cream Cheese,545494,10
94,Bread - Bistro White,533817,5
95,Red Cod Fillets - 225g,411749,9
96,"Lid - 10,12,16 Oz",152156,5
97,Water - Green Tea Refresher,576706,7
98,Syrup - Monin - Granny Smith,898392,2
99,"Veal - Shank, Pieces",913236,1
100,Scallops - 10/20,611788,4
